net,length_um
_1365_,15.84
ram\[56\]\[6\],15.82
ram\[34\]\[3\],15.79
ram\[8\]\[5\],15.76
_1423_,15.74
_0936_,15.72
ram\[12\]\[2\],15.72
ram\[23\]\[5\],15.7
ram\[0\]\[7\],15.68
ram\[25\]\[3\],15.68
ram\[40\]\[0\],15.68
ram\[14\]\[6\],15.67
ram\[43\]\[3\],15.66
ram\[37\]\[5\],15.64
ram\[32\]\[5\],15.58
ram\[30\]\[4\],15.49
ram\[28\]\[7\],15.48
_0763_,15.46
ram\[36\]\[7\],15.44
_0772_,15.42
ram\[14\]\[5\],15.41
ram\[3\]\[7\],15.4
ram\[12\]\[4\],15.36
ram\[29\]\[5\],15.36
_0711_,15.3
ram\[7\]\[4\],15.28
_0693_,15.22
ram\[35\]\[6\],15.22
ram\[62\]\[3\],15.22
_1613_,15.2
ram\[37\]\[2\],15.2
ram\[48\]\[5\],15.2
ram\[15\]\[0\],15.18
ram\[31\]\[4\],15.18
ram\[58\]\[1\],15.085
ram\[31\]\[1\],15.08
_0562_,15.04
_1667_,15.02
ram\[14\]\[7\],14.99
we,14.97
ram\[4\]\[1\],14.96
ram\[41\]\[5\],14.94
ram\[23\]\[4\],14.88
ram\[33\]\[1\],14.84
ram\[41\]\[6\],14.78
_1322_,14.76
ram\[28\]\[3\],14.76
_0907_,14.7
ram\[30\]\[1\],14.685
ram\[24\]\[3\],14.66
ram\[16\]\[5\],14.64
ram\[19\]\[1\],14.64
ram\[35\]\[4\],14.64
ram\[39\]\[1\],14.64
ram\[15\]\[2\],14.58
ram\[58\]\[2\],14.525
q[2],14.45
ram\[34\]\[4\],14.405
ram\[2\]\[2\],14.345
_0815_,14.34
ram\[32\]\[2\],14.34
ram\[41\]\[4\],14.34
_1639_,14.32
ram\[46\]\[4\],14.29
ram\[15\]\[4\],14.28
ram\[25\]\[6\],14.28
ram\[57\]\[2\],14.27
ram\[31\]\[2\],14.26
ram\[12\]\[1\],14.2
ram\[53\]\[3\],14.18
ram\[13\]\[7\],14.14
ram\[62\]\[4\],14.1
ram\[0\]\[1\],14.08
_0193_,14.065
ram\[58\]\[5\],14.065
ram\[36\]\[2\],14.06
q[0],14.03
ram\[63\]\[2\],13.98
_0793_,13.96
_1593_,13.96
ram\[36\]\[0\],13.96
ram\[8\]\[7\],13.94
_1217_,13.92
ram\[44\]\[5\],13.92
ram\[18\]\[1\],13.885
_0943_,13.84
ram\[20\]\[2\],13.82
ram\[13\]\[2\],13.8
ram\[51\]\[2\],13.76
_0990_,13.72
ram\[39\]\[2\],13.72
_0810_,13.68
ram\[13\]\[3\],13.68
_1282_,13.66
ram\[52\]\[4\],13.64
ram\[60\]\[0\],13.64
ram\[62\]\[0\],13.62
_1045_,13.6
_1215_,13.58
ram\[56\]\[4\],13.58
ram\[35\]\[0\],13.56
_1050_,13.54
net519,13.54
ram\[54\]\[6\],13.52
ram\[2\]\[7\],13.49
ram\[59\]\[2\],13.48
ram\[18\]\[2\],13.46
ram\[36\]\[1\],13.46
ram\[39\]\[6\],13.46
ram\[11\]\[1\],13.44
_0692_,13.42
_1671_,13.42
ram\[5\]\[2\],13.42
_1502_,13.4
_0715_,13.38
ram\[12\]\[7\],13.38
_0326_,13.365
ram\[26\]\[7\],13.365
_0921_,13.36
ram\[13\]\[4\],13.36
_0418_,13.345
ram\[27\]\[7\],13.34
ram\[3\]\[2\],13.34
ram\[7\]\[3\],13.34
ram\[20\]\[5\],13.3
ram\[61\]\[5\],13.3
ram\[9\]\[3\],13.3
_1517_,13.28
ram\[37\]\[4\],13.28
_0968_,13.26
ram\[31\]\[3\],13.26
ram\[51\]\[1\],13.26
ram\[59\]\[1\],13.26
ram\[16\]\[3\],13.22
ram\[1\]\[3\],13.22
_0001_,13.18
ram\[3\]\[3\],13.17
ram\[39\]\[0\],13.14
ram\[16\]\[4\],13.12
ram\[28\]\[1\],13.12
ram\[45\]\[3\],13.12
_0105_,13.08
ram\[60\]\[5\],13.08
ram\[14\]\[0\],13.05
net24,13.04
ram\[43\]\[7\],12.94
_0671_,12.92
_0795_,12.92
ram\[21\]\[6\],12.92
ram\[57\]\[0\],12.9
ram\[62\]\[1\],12.88
_0476_,12.865
_1260_,12.86
ram\[54\]\[3\],12.85
ram\[21\]\[4\],12.84
ram\[51\]\[4\],12.84
ram\[63\]\[6\],12.82
ram\[20\]\[1\],12.8
ram\[49\]\[7\],12.8
_0323_,12.765
_1464_,12.76
_0788_,12.74
ram\[6\]\[5\],12.72
_1020_,12.7
ram\[26\]\[0\],12.7
ram\[43\]\[6\],12.7
ram\[60\]\[3\],12.7
_1447_,12.66
ram\[39\]\[5\],12.66
net92,12.62
ram\[18\]\[6\],12.6
_0963_,12.58
ram\[15\]\[7\],12.58
net402,12.58
ram\[49\]\[2\],12.54
_1508_,12.52
_1698_,12.52
ram\[55\]\[2\],12.52
data[7],12.51
ram\[4\]\[3\],12.5
_0868_,12.48
_0716_,12.46
ram\[13\]\[5\],12.46
ram\[25\]\[2\],12.46
ram\[53\]\[6\],12.46
ram\[2\]\[6\],12.43
ram\[24\]\[6\],12.42
ram\[3\]\[5\],12.42
ram\[61\]\[2\],12.38
ram\[25\]\[4\],12.36
ram\[30\]\[0\],12.345
_0672_,12.34
ram\[37\]\[1\],12.26
ram\[60\]\[2\],12.24
_1032_,12.23
ram\[46\]\[2\],12.23
ram\[59\]\[6\],12.18
_0103_,12.165
_1582_,12.16
ram\[32\]\[6\],12.16
net213,12.16
ram\[30\]\[5\],12.14
ram\[14\]\[4\],12.125
_1645_,12.12
ram\[38\]\[6\],12.12
ram\[3\]\[6\],12.12
ram\[4\]\[0\],12.12
ram\[52\]\[6\],12.12
ram\[56\]\[1\],12.12
_1488_,12.08
ram\[60\]\[1\],12.08
_1449_,12.06
_0839_,12
ram\[13\]\[0\],12
ram\[13\]\[6\],12
ram\[31\]\[5\],12
ram\[44\]\[4\],12
_0916_,11.98
ram\[11\]\[0\],11.96
ram\[32\]\[1\],11.96
ram\[7\]\[5\],11.96
_0440_,11.855
